maxPlayerLevel;numberOfAttemptedLevels;attemptsOnTheHighestLevel;totalNumOfAttempts;averageNumOfTurnsPerCompletedLevel;doReturnOnLowerLevels;numberOfBoostersUsed;fractionOfUsefullBoosters;totalScore;totalBonusScore;totalStarsCount;numberOfDaysActuallyPlayed;last_lvl_completed;upd_totalNumOfAttempts;upd_averageNumOfTurnsPerCompletedLevel;upd_numberOfBoostersUsed;upd_totalScore;upd_totalBonusScore;upd_totalStarsCount;upd_numberOfDaysActuallyPlayed;upd_completed_levels;upd_start_level
39;10;3;17;24.444444444400002;1;5;0.4;2650000;1375;21;2;0.0;101.02919006347656;19.199689229319173;21.178081512451172;11453634.0;6948.08154296875;90.63683319091797;8.897119998931885;9.0;30.0
21;22;19;55;17.0454545455;1;6;0.3333333333;5614000;3825;51;4;0.0;55.0;17.0454545455;6.0;5614000.0;3825.0;51.0;4.0;21.0;0.0
5;6;1;6;8.4;0;1;1.0;857000;1150;14;1;0.0;6.0;8.4;1.0;857000.0;1150.0;14.0;1.0;5.0;0.0
21;2;5;6;19.0;0;1;0.0;120000;0;1;1;0.0;49.56462478637695;15.788375491187686;5.706246376037598;4493868.0;3154.209716796875;38.5966682434082;5.593290328979492;1.0;20.0
4;5;1;5;9.6;0;1;1.0;857000;1075;12;1;0.0;5.0;9.6;1.0;857000.0;1075.0;12.0;1.0;4.0;0.0
0;1;1;1;3.0;0;0;0.0;113000;250;0;1;0.0;1.0;3.0;0.0;113000.0;250.0;0.0;1.0;0.0;0.0
13;14;2;19;15.5;0;5;0.8;3831000;2875;34;2;0.0;19.0;15.5;5.0;3831000.0;2875.0;34.0;2.0;13.0;0.0
13;14;5;26;14.7692307692;0;4;0.5;3458000;2375;31;2;0.0;26.0;14.7692307692;4.0;3458000.0;2375.0;31.0;2.0;13.0;0.0
2;3;1;3;7.666666666699999;0;0;0.0;420000;750;6;1;0.0;3.0;7.666666666699999;0.0;420000.0;750.0;6.0;1.0;2.0;0.0
1;2;3;5;3.0;1;0;0.0;113000;250;3;1;0.0;5.0;3.0;0.0;113000.0;250.0;3.0;1.0;1.0;0.0
9;10;1;10;13.777777777799999;0;3;1.0;1641000;1675;21;2;0.0;10.0;13.777777777799999;3.0;1641000.0;1675.0;21.0;2.0;9.0;0.0
93;16;15;91;22.1875;1;11;0.3636363636;2769000;2425;35;12;0.0;331.71385192871094;20.854313019783266;57.60209274291992;22498962.0;15174.111328125;204.3888702392578;24.16637897491455;15.0;78.0
1;2;1;2;3.5;0;0;0.0;238000;500;3;1;0.0;2.0;3.5;0.0;238000.0;500.0;3.0;1.0;1.0;0.0
4;5;1;5;8.6;0;1;1.0;888000;1150;12;1;0.0;5.0;8.6;1.0;888000.0;1150.0;12.0;1.0;4.0;0.0
13;14;2;17;14.538461538499998;0;5;0.6;3674000;2525;34;2;0.0;17.0;14.538461538499998;5.0;3674000.0;2525.0;34.0;2.0;13.0;0.0
8;9;1;12;12.0;0;3;1.0;1945000;1625;20;2;0.0;12.0;12.0;3.0;1945000.0;1625.0;20.0;2.0;8.0;0.0
36;3;1;5;26.3333333333;0;3;0.6666666667;758000;650;5;2;0.0;65.91082382202148;18.556735851144705;19.231130599975586;9604682.0;6472.171875;81.7276382446289;6.787580490112305;2.0;34.0
5;6;5;10;9.6;0;1;1.0;881000;1150;14;1;0.0;10.0;9.6;1.0;881000.0;1150.0;14.0;1.0;5.0;0.0
58;7;10;61;18.7142857143;1;6;0.3333333333;1104000;625;10;9;0.0;263.1846008300781;19.490323578784334;31.128761291503906;14482238.0;9461.8193359375;129.01419830322266;19.77390193939209;6.0;52.0
1;2;1;2;4.5;0;0;0.0;326000;500;3;1;0.0;2.0;4.5;0.0;326000.0;500.0;3.0;1.0;1.0;0.0
1;2;1;2;4.5;0;0;0.0;238000;500;3;1;0.0;2.0;4.5;0.0;238000.0;500.0;3.0;1.0;1.0;0.0
17;18;1;21;15.352941176500002;0;3;1.0;4670000;3350;44;3;0.0;21.0;15.352941176500002;3.0;4670000.0;3350.0;44.0;3.0;17.0;0.0
54;22;2;90;22.6666666667;0;16;0.375;3812000;3100;40;9;0.0;180.93289184570312;19.68859061489695;33.39998435974121;12211592.0;8669.19970703125;114.04044342041016;15.9322829246521;21.0;33.0
11;12;1;12;14.916666666700001;0;4;1.0;3009000;2450;29;2;0.0;12.0;14.916666666700001;4.0;3009000.0;2450.0;29.0;2.0;11.0;0.0
0;1;1;1;3.0;0;0;0.0;125000;250;0;1;0.0;1.0;3.0;0.0;125000.0;250.0;0.0;1.0;0.0;0.0
6;7;2;8;10.714285714299999;0;3;0.6666666667;1152000;1300;15;1;0.0;8.0;10.714285714299999;3.0;1152000.0;1300.0;15.0;1.0;6.0;0.0
0;1;1;1;3.0;0;0;0.0;113000;250;0;1;0.0;1.0;3.0;0.0;113000.0;250.0;0.0;1.0;0.0;0.0
25;26;8;39;17.12;0;12;0.6666666667;5870000;4200;57;1;0.0;39.0;17.12;12.0;5870000.0;4200.0;57.0;1.0;25.0;0.0
6;7;1;7;11.0;0;2;1.0;1772000;1550;17;1;0.0;7.0;11.0;2.0;1772000.0;1550.0;17.0;1.0;6.0;0.0
10;11;5;16;13.9;0;4;0.5;1787000;1600;23;2;0.0;16.0;13.9;4.0;1787000.0;1600.0;23.0;2.0;10.0;0.0
44;45;1;90;19.136363636400002;0;16;0.6875;11289000;7725;103;10;0.0;90.0;19.136363636400002;16.0;11289000.0;7725.0;103.0;10.0;44.0;0.0
50;51;28;150;19.42;0;17;0.7647058823999999;12230000;8300;108;9;0.0;150.0;19.42;17.0;12230000.0;8300.0;108.0;9.0;50.0;0.0
13;8;1;8;16.571428571400002;1;4;0.75;1617000;1150;18;1;0.0;20.037184715270996;14.142094245308385;7.763552188873291;3701867.125;2745.1256103515625;39.081974029541016;2.5730228424072266;7.0;6.0
0;1;1;1;3.0;0;0;0.0;113000;250;0;1;0.0;1.0;3.0;0.0;113000.0;250.0;0.0;1.0;0.0;0.0
6;7;1;7;10.4285714286;0;2;1.0;1523000;1475;17;1;0.0;7.0;10.4285714286;2.0;1523000.0;1475.0;17.0;1.0;6.0;0.0
4;5;1;5;9.6;0;1;1.0;1028000;1150;12;1;0.0;5.0;9.6;1.0;1028000.0;1150.0;12.0;1.0;4.0;0.0
13;14;5;18;14.9230769231;0;4;0.75;4082000;2600;33;2;0.0;18.0;14.9230769231;4.0;4082000.0;2600.0;33.0;2.0;13.0;0.0
13;14;1;15;16.0;0;5;1.0;3312000;2525;33;2;0.0;15.0;16.0;5.0;3312000.0;2525.0;33.0;2.0;13.0;0.0
49;14;4;52;21.5;1;6;0.3333333333;3253000;2200;29;7;0.0;167.54753875732422;19.29219506711376;28.04908561706543;13348876.0;8521.0068359375;111.6391372680664;16.36694622039795;13.0;36.0
0;1;1;1;3.0;0;0;0.0;125000;250;0;1;0.0;1.0;3.0;0.0;125000.0;250.0;0.0;1.0;0.0;0.0
34;22;9;40;22.608695652199998;1;14;0.6428571429;5403000;3025;43;3;0.0;78.07431030273438;19.803080213665307;24.238544464111328;9594151.75;5786.632568359375;81.25580215454102;6.088322877883911;21.0;13.0
86;24;3;77;20.6086956522;0;13;0.8461538462;4564000;3975;54;8;0.0;208.73233032226562;20.159757281465634;32.29372215270996;20545816.0;14852.2939453125;196.42303466796875;16.513731002807617;23.0;63.0
33;34;6;47;17.939393939400002;0;17;0.7647058823999999;9346000;5875;79;2;0.0;47.0;17.939393939400002;17.0;9346000.0;5875.0;79.0;2.0;33.0;0.0
16;17;1;24;15.375;0;4;0.75;4165000;3000;40;2;0.0;24.0;15.375;4.0;4165000.0;3000.0;40.0;2.0;16.0;0.0
6;7;1;7;11.2857142857;0;2;1.0;1659000;1450;15;2;0.0;7.0;11.2857142857;2.0;1659000.0;1450.0;15.0;2.0;6.0;0.0
42;43;4;84;19.3095238095;0;22;0.7727272727;10195000;7300;95;5;0.0;84.0;19.3095238095;22.0;10195000.0;7300.0;95.0;5.0;42.0;0.0
1;2;1;2;5.5;0;0;0.0;294000;500;3;1;0.0;2.0;5.5;0.0;294000.0;500.0;3.0;1.0;1.0;0.0
10;11;1;28;14.6;1;4;0.5;3376000;2250;29;1;0.0;28.0;14.6;4.0;3376000.0;2250.0;29.0;1.0;10.0;0.0
11;12;1;16;14.5;0;3;1.0;3196000;2450;30;1;0.0;16.0;14.5;3.0;3196000.0;2450.0;30.0;1.0;11.0;0.0
10;11;2;14;13.8;0;2;1.0;2073000;1700;24;1;0.0;14.0;13.8;2.0;2073000.0;1700.0;24.0;1.0;10.0;0.0
10;11;3;17;14.083333333299999;1;2;1.0;2526000;1875;26;1;0.0;17.0;14.083333333299999;2.0;2526000.0;1875.0;26.0;1.0;10.0;0.0
1;2;1;2;3.5;0;0;0.0;288000;500;3;1;0.0;2.0;3.5;0.0;288000.0;500.0;3.0;1.0;1.0;0.0
15;16;1;22;16.2;0;6;0.6666666667;3524000;2925;39;3;0.0;22.0;16.2;6.0;3524000.0;2925.0;39.0;3.0;15.0;0.0
5;6;1;6;10.4;0;1;1.0;1485000;1250;15;1;0.0;6.0;10.4;1.0;1485000.0;1250.0;15.0;1.0;5.0;0.0
33;34;2;64;17.705882352899998;1;17;0.6470588235;9246000;5825;79;4;0.0;64.0;17.705882352899998;17.0;9246000.0;5825.0;79.0;4.0;33.0;0.0
44;5;4;37;24.5;0;6;0.5;742000;825;10;9;0.0;126.73185729980469;19.624969482421875;25.365182876586914;11057494.0;7670.11572265625;98.031494140625;15.911397933959961;4.0;40.0
6;7;1;9;11.7142857143;0;1;1.0;1873000;1225;14;2;0.0;9.0;11.7142857143;1.0;1873000.0;1225.0;14.0;2.0;6.0;0.0
12;13;1;17;14.9285714286;1;3;1.0;3973000;2625;32;1;0.0;17.0;14.9285714286;3.0;3973000.0;2625.0;32.0;1.0;12.0;0.0
4;5;1;5;9.2;0;1;1.0;1309000;1150;11;1;0.0;5.0;9.2;1.0;1309000.0;1150.0;11.0;1.0;4.0;0.0
11;12;3;17;14.8181818182;0;2;1.0;1882000;1750;23;1;0.0;17.0;14.8181818182;2.0;1882000.0;1750.0;23.0;1.0;11.0;0.0
11;12;5;21;14.090909090899999;0;4;0.5;1963000;1750;25;2;0.0;21.0;14.090909090899999;4.0;1963000.0;1750.0;25.0;2.0;11.0;0.0
2;3;1;3;5.0;0;0;0.0;403000;750;6;1;0.0;3.0;5.0;0.0;403000.0;750.0;6.0;1.0;2.0;0.0
17;18;1;32;16.0476190476;1;2;1.0;5237000;3825;49;3;0.0;32.0;16.0476190476;2.0;5237000.0;3825.0;49.0;3.0;17.0;0.0
15;16;3;25;15.8;0;5;0.8;3567000;2825;37;2;0.0;25.0;15.8;5.0;3567000.0;2825.0;37.0;2.0;15.0;0.0
25;13;2;15;21.8333333333;0;6;0.5;2997000;2100;27;2;0.0;34.69520378112793;18.31504898069689;10.660818099975586;6157432.5;4549.2685546875;58.755977630615234;3.887321710586548;12.0;13.0
4;5;1;5;8.4;0;1;1.0;1051000;1150;11;1;0.0;5.0;8.4;1.0;1051000.0;1150.0;11.0;1.0;4.0;0.0
31;3;1;5;24.0;0;1;1.0;485000;500;6;1;0.0;51.21832275390625;17.69790969356414;9.63001537322998;8151841.0;5618.349609375;68.99417495727539;4.4950292110443115;2.0;29.0
10;11;7;23;13.3;0;5;0.2;2306000;1575;23;1;0.0;23.0;13.3;5.0;2306000.0;1575.0;23.0;1.0;10.0;0.0
15;16;2;25;15.5333333333;0;4;1.0;3507000;3025;38;2;0.0;25.0;15.5333333333;4.0;3507000.0;3025.0;38.0;2.0;15.0;0.0
58;17;68;139;20.625;0;10;0.0;2761000;2425;33;10;0.0;323.37977600097656;18.67945802622828;32.13208770751953;11071870.5;8369.3779296875;110.30487060546875;22.23906707763672;16.0;42.0
